name,stationID,evaNr,rl100Code,lat,lon
Bellheim Am Mühlbuckel,8201,,,49.192639,8.297626
Bellheim Bf,476,,,49.188303,8.29456
Bempflingen,479,,,48.572364,9.273425
Benediktbeuern,480,,,47.709121,11.403051
Bengel,481,,,50.010379,7.05803
Bennemühlen,482,,,52.580993,9.726836
Bennewitz,6951,,,51.355926,12.70843
Bennigsen,483,,,52.240733,9.666376
Benningen (Neckar),484,,,48.943614,9.244504
Bennungen,486,,,51.464006,11.122989
Benshausen,487,,,50.657009,10.602208
Bensheim,488,,,49.681329,8.616717
Bensheim-Auerbach,489,,,49.701557,8.613366
Bentwisch,490,,,54.117193,12.210506
Beratzhausen,491,,,49.092846,11.807853
Berchtesgaden Hbf,495,,,47.626688,12.999058
Berg (Pfalz),6353,,,48.980676,8.212761
Berga (Elster),496,,,50.747189,12.158865
Berga-Kelbra,497,,,51.4520614,11.0148132
Bergen (Oberbay),498,,,47.82527,12.592846
Bergen auf Rügen,499,,,54.4205,13.417821
Bergenweiler,500,,,48.576297,10.272879
Bergfelde (b Berlin),503,,,52.670303,13.320244
Berghausen,504,,,51.033036,8.35001
Berghausen (Pfalz),506,,,49.295449,8.406173
Bergheim (Erft),507,,,50.951706,6.646302
Bergisch Gladbach,512,,,50.991461,7.124553
Bergsdorf,515,,,52.936565,13.260794
Bergtheim,516,,,49.8993,10.076473
Bergwitz,517,,,51.803696,12.576213
Beringen Bad Bf,519,,,47.694897,8.574616
Beringerfeld,8310,,,47.695308,8.592771
Beringhausen,520,,,51.407771,8.751414
Beringstedt,521,,,54.113667,9.537501
Berkenbrück,524,,,52.35719,14.165217
Berlin Anhalter Bahnhof,525,,,52.503486,13.381362
Berlin Brandenburger Tor,6340,,,52.516506,13.381815
Berlin Frankfurter Allee,526,,,52.515168,13.47441
Berlin Gesundbrunnen,528,,,52.548963,13.388513
Berlin Hauptbahnhof,1071,,,52.525592,13.369545
Berlin Ostbahnhof,530,,,52.5104881,13.4346807
Berlin Ostkreuz,4809,,,52.503037,13.469105
Berlin Potsdamer Platz,5016,,,52.509379,13.375988
Berlin Südkreuz,4859,,,52.475047,13.365319
Berlin Zoologischer Garten,533,,,52.5073407,13.3324447
Berlin-Adlershof,534,,,52.435031,13.541129
Berlin-Blankenburg,535,,,52.591164,13.44333
Berlin-Buch,536,,,52.636162,13.492286
Berlin-Charlottenburg,537,,,52.5042126,13.3023298
Berlin-Friedrichshagen,538,,,52.457247,13.6246
Berlin-Friedrichstraße,527,,,52.520373,13.3872056
Berlin-Frohnau,539,,,52.632758,13.289934
Berlin-Grunewald,541,,,52.488693,13.26172
Berlin-Grünau,540,,,52.413028,13.573497
Berlin-Halensee,542,,,52.496254,13.290326
Berlin-Hermsdorf,543,,,52.617782,13.30769
